date,Coal,Hydro,Nuclear,Other,Wind,NGas
2010-10-03,313194.4121,3459.922215,124097.9599,12494.6822,84738.74343,258766.41217999998
2010-10-04,330405.0159,3302.2836,123978.6575,15926.78741,26067.91274,314276.85924
2010-10-05,317134.371,3030.541199,124167.7496,13419.72385,48091.22076,279513.54998999997
2010-10-06,291007.8295,3010.302386,123956.6651,6890.033373,132471.7241,187683.55754
2010-10-07,293018.4497,2928.856467,124144.4124,6084.201965,134948.5756,156637.93343
2010-10-08,290674.8555,2920.068055,124109.5362,7410.604702,84498.96739,145913.67364
2010-10-09,283408.3376,2936.044975,123963.0528,7952.827888,95880.95195,139334.98700999998
2010-10-10,287003.3831,2896.402123,123720.2419,8997.575167,118590.1725,179158.83246
2010-10-11,293949.6369,3504.861994,123721.3735,10792.46072,94776.11546,180849.76135
2010-10-12,288796.7081,3553.619098,123491.191,10292.88591,93567.17202,180966.93123
2010-10-13,304890.832,3505.07849,123646.0282,11275.18775,53291.15999,206542.44058
2010-10-14,281728.5495,2527.11398,123834.0923,11806.56453,68928.9737,208108.24655
2010-10-15,306252.6938,2833.560521,123833.2839,9084.912105,30658.4576,170824.60157
2010-10-16,269216.4782,2644.945282,118569.7334,8431.212292,65770.87762,138294.75289
2010-10-17,270558.8636,2730.028248,123551.0556,8475.124828,100737.3022,182024.49683000002
2010-10-18,308372.3702,2831.092942,123561.7293,8866.690729,30853.4577,218886.71836
2010-10-19,308503.7427,2659.814511,123671.0134,8748.419232,42551.1011,208930.73958
2010-10-20,291683.3626,2858.467624,123692.0234,9805.6215,40621.88832,220756.05891999998
2010-10-21,267667.2663,2977.884601,123531.4591,8105.143914,117530.0454,153358.54815
2010-10-22,258552.6385,3405.3208,123580.3194,7982.926552,114159.4431,228715.39801
2010-10-23,314026.9778,3047.568815,123780.6541,10055.31526,73926.16133,285861.57453
2010-10-24,301409.3479,2807.779333,123920.2454,11674.05041,47345.34097,260924.27109
2010-10-25,267923.258,2801.78741,123713.6652,8876.860392,104579.4851,199473.87647
2010-10-26,286788.1524,3190.379078,123637.9822,9138.517729,74149.29081,190258.09876000002
